Timestamp,City ,Hospital Name/Campus,Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ","Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ",Hospital Name/ Campus (Optional)
4/9/2022 12:46:44,"New York, NY ",,10,Hematology Nurse Practitoner ,75,,M-f 8-4 ,,NYU
4/9/2022 12:47:57,"New York, NY",,10,Hematology NP ,75,,M-f 8-4,,NYU
4/9/2022 12:48:41,"New York, NY",,10,Hematology NP ,75,,M-f 8-4,,NYU
4/9/2022 13:31:55,Upstate,,0,Imaging Center,35,,Day,,Imaging Center
4/9/2022 17:01:15,Long Island NY,,32,,,,,,
4/9/2022 17:02:48,,,,,,,,,
4/9/2022 20:52:13,Port Jefferson ,,1.75,Med-surg/tele,43,3.17,3-11pm (evening) ,,
4/9/2022 21:16:56,Rochester,,7,Pediatrics,38.3,2,Nights,,URMC
4/9/2022 22:58:58,Buffalo,,16,Bariatric,25.5,,,,Clinic
4/10/2022 10:48:21,Brooklyn,,8,GI/ same day surgeries OR,59,,Day Shift outpatient 7:00 am - 3:00 pm,,
4/10/2022 15:54:41,Manhattan ,,3,Dialysis,44,,Days 15hr shift ,,Davita
4/10/2022 15:54:58,Manhattan ,,3,Dialysis,44,,Days 15hr shift ,,Davita
4/10/2022 15:55:24,,,,,,,,,
4/10/2022 18:47:57,Rochester ,,5,ER,4225,,,,
4/10/2022 18:50:11,Albany ,,13,Hospice,38.82,,Days,,
4/10/2022 20:28:27,Rochester,,3,Cardiac,31.3,,,,URMC
4/11/2022 17:54:20,Suffolk,,3,ED,50,2.5,Swing (1100 to 2330),,
4/12/2022 19:05:59,New Hyde Park,,2,Internal Medicine,40,8,,,Northwell
4/14/2022 7:23:45,West islip,,2,Icu,48,,Days ,,
4/14/2022 21:14:27,,,,,,,,,
4/14/2022 21:15:23,,,,,,,,,
4/25/2022 19:19:35,NYC,,1,CTICU,53.68,3,Nights,,Lenox Hill
4/25/2022 19:20:07,NYC,,1,CTICU,53,3,Nights,,Lenox hill hospital 
5/11/2022 22:09:43,"Cortland, NY",,1,ICU ,31.2,,,,
5/15/2022 11:25:23,Smithtown,,2,Cardiac telemetry,47,3,Nights,,St. Catherine of Siena Hospital
5/16/2022 11:56:32,Staten Island,,0,ER,47.75,3.23,Nights,,Richmond University Medical Center
5/24/2022 16:57:48,West Islip ,,10,Med-Surg,54.04,,,,Good Samaritan Hospital 
6/1/2022 12:44:05,New York (Manhattan),,36,Pediatric Clinical Nurse Specialist,79,1.5,PRN Weekend overtime ,,Memorial Sloan Kettering 
6/1/2022 20:23:33,Huntington ,,3,Med surg,49.15,,Days,,Huntington hospital
6/3/2022 0:14:16,Manhattan,,0,Med Surg,53,5,Nights,,NYU Langone
6/4/2022 23:26:17,Hopewell Junction,,2,Psychiatry ,25,3.5,,,
6/7/2022 14:48:57,Poughkeepsie,,14,Home Health Care,50.4,,,,
6/8/2022 0:27:29,New York city,,2,surgical icu ,53,3,"Nights, critical care ",,New York Presbyterian COLUMBIA 
6/8/2022 0:31:50,Queens ,,2,Er,50.14,,,,Nypq
6/8/2022 11:16:38,NYC,,1,CCU,56,,,,NYP-Cornell
6/8/2022 16:57:44,New York ,,13,L&D,65,,Days ,,
6/9/2022 6:34:53,Potsdam,,1,ICU,35.25,3.5,Nights,,Canton-Potsdam Hospital
6/13/2022 17:12:09,,,,,,,,,
6/16/2022 3:01:51,New York,,7,Cardiac ICU,55.78,3,Night,,Mount Sinai Hospital
6/16/2022 13:52:47,New York City,,1,ICU,52.64,,Night diff - $3.07 BSN diff - $0.66,,New York Presbyterian- Columbia
6/16/2022 22:17:56,Sleepy Hollow,,1,Med surg,40.19,,Dayshift,,Phelps hospital 
6/21/2022 16:55:24,Queens,,2.5,Pediatrics,40,1,40 hours work week,,Tribeca Pediatrics
6/23/2022 0:59:48,West islip,,3,Ltc,42,1.25,Nights,,Oloc
6/23/2022 1:01:08,West islip,,3,Ltc,42,1.25,Nights,,Oloc
6/27/2022 13:36:04,Western New York,,14,Jail,36,4,Nights ,,Jail 
6/30/2022 15:38:52,New York,,11,Oncology,65,,Days,,
6/30/2022 15:39:09,New York,,11,Oncology,65,,Days,,
6/30/2022 19:37:49,Poughkeepsie,,14,Home Health Care,50.4,,,,
7/1/2022 8:51:42,NYC,,3,Oncology (outpatient),51,,,,NYCBS
7/2/2022 15:37:01,New York City,,0,Postpartum/Mother-Baby,52.3611,2.99,Nights and BSN,,Mount Sinai 
7/8/2022 16:09:48,Rochester,,0,Cardiac ICU,30.38,1,,,University of Rochester
7/9/2022 13:34:27,Queens,,30,,145000,,,,LIJMC 
7/15/2022 1:44:55,Port Jervis,,8,ER,44.84,4.5,Nights,,
7/18/2022 21:37:13,New York,,0,Med-Surg,53.31,,,,NYP Columbia 
7/31/2022 19:51:10,New York City,,0,NICU,53,3,Nights,,
8/1/2022 15:35:00,Utica,,9,Homecare,40,,,,
8/1/2022 15:35:50,Utica,,9,Homecare,40,,,,
8/4/2022 13:24:07,Utica,,1,IMCU,32.5,,,,MVHS/ St Elizabeth medical center 
8/5/2022 22:09:51,New York City,,0,,,,,,
8/5/2022 22:10:12,,,,,,,,,
8/5/2022 22:10:56,,,,,,,,,
8/5/2022 22:11:49,,,,,,,,,
8/13/2022 12:13:59,Long Island,,0,Med surg/ telemetry / oncology,47.47,,,,
8/22/2022 18:51:05,,,,,,,,,
9/16/2022 13:48:58,Manhattan,,0,Med Surg,55.18,3.66,Nights,,NYP
9/19/2022 22:22:01,New York,,1,Cardiac,47.5,3.3,Nights,,NYU Langone
9/19/2022 23:52:35,Rochester,,9,oncology ,34.8,,,,
9/25/2022 20:08:52,West Islip,,0,L&D,46.8,3.48,nights ,,Good Samaritan Hospital 
9/25/2022 20:08:55,West Islip,,0,L&D,46.8,3.48,nights ,,Good Samaritan Hospital 
10/4/2022 0:52:57,Glens Falls,,17,Med/Surg,51,10.2,Nights,,
10/5/2022 6:26:19,cooperstown,,20,ICU,54,,days,,Bassett
10/5/2022 22:48:56,Binghamton ,,9,Telemetry ,43,8,Nights ,,
10/6/2022 17:37:36,Quens ,,0,Med Surg,49,3,Night,,NYP Queens
10/6/2022 20:56:02,New York,,0,Geriatrics,47,,,,
10/9/2022 12:44:50,Rochester ,,0,OR,33.15,,Day,,URMC
10/16/2022 1:38:04,Harris,,1,Med-Surg/Tele,41,3,Nights,,Garnet Health Medical Center-Catskills
10/16/2022 17:22:48,Albany,,0,PP,35,4,nights,,
10/16/2022 17:32:03,New Hyde Park,,0,Tele-Oncology,47.8,2.79,BSN (2) and Night differential (.79) ,,Northwell Health
10/24/2022 15:39:14,New York,,2,Med-Surg,54.36,3.07,Nights,,New York Presbyterian - CUIMC
11/10/2022 9:39:51,Roslyn,,0,SICU,46.8086,3.05,Nights,,St.Francis Hospital
11/19/2022 8:38:28,Mount Kisco,,3,Med surg,51,5,Night,,
11/29/2022 1:51:28,White Plains,,6,ED (1 Year) MED-SURG 5,55.06,4,Nights 4.79,,
12/1/2022 21:53:41,Mineola,,3,Telemetry,53.05,,,,NYU Langone Long Island 
12/1/2022 22:07:48,Long Island ,,12,Hospice,57,,,,
12/1/2022 22:10:35,"Port Jefferson , NY ",,3,,47.57,0.76,Bachelors degree ,,St. Charles Hospital 
12/1/2022 22:17:20,Brooklyn,,8,PICU,90000,,,,NYHH 
12/1/2022 22:24:08,Brooklyn,,7,Critical Care,125,,Swing shift/ travel ,,
12/1/2022 22:39:38,Nanuet,,1,,,,,,Walford dermatology 
12/1/2022 22:41:27,New York City,,7,Pediatric cardiology ,77,,,,Weill Cornell medicine 
12/1/2022 23:26:48,Schenectady,,4,Cardiac,38,,,,
12/2/2022 7:31:39,New York ,,20,Telemetry ,50,,Day shift ,,
12/2/2022 9:18:26,Ithaca,,11,1st trimester sonography ,25,,,,
12/2/2022 11:36:28,Port Jefferson,,7,IR,51,,BSN ,,Northwell Health Mather Hospital
12/2/2022 17:16:01,NYC,,1,Med surg telemetry/step down float,52.4,4.9,Days ,,Lenox Hill
12/2/2022 20:13:34,New York City (Manhattan),,2,Psychiatry,56.48,,Days,,New York Presbyterian / Weill Cornell
12/2/2022 22:38:51,New York City ,,1,L&D,54,6000,Nights ,,Lenox hill 
12/3/2022 8:19:00,Port Jefferson ,,3,ER,49.19,,,,Mather hospital 
12/3/2022 8:33:54,Elmira ,,16,Outpatient Oncology,45,,,,
12/10/2022 22:16:26,White Plains,,3,L&D,50.11,4,Nights ,,White Plains Hospital
12/17/2022 22:42:02,"Far Rockaway, NY",,0,ED,49,2.75,Nights,,St. John’s Episcopal Hospital
12/18/2022 13:47:02,,,0,Fertility / IVF,38.46,,,,
12/19/2022 16:55:04,Suffolk County,,5,CTICU,54,3,Evening,,
12/19/2022 18:03:26,Schenectady ,,2,Primary care ,30.77,,Days ,,Ellis
12/19/2022 18:29:35,New York City ,,0,ER,53,,"6,000 more annually nights ",,NYU 
12/19/2022 18:32:31,NYC ,,0,CSICU ,52.83,2.75,Days,,
12/19/2022 18:33:39,NYC (Manhattan),,1.75,Oncology ,53.58,,,,
12/19/2022 18:54:07,Albany,,0.5,Trauma,34.5,8.5,Nights/weekends,,
12/19/2022 19:10:42,Mount kisco,,5,L&D,52.02,3,Night,,
12/19/2022 20:06:26,Buffalo,,1,Oncology,34.2,6.5,"Nights, weekend, critical care",,Roswell
12/19/2022 20:09:56,Bronx,,,,,,,,
12/19/2022 20:22:18,Rochester,,1,L&D,33,1.5,Nights weekday,,
12/19/2022 20:23:48,Rochester ,,1,L&D,33,1.5,Nights weekday,,
12/19/2022 20:27:55,Saint Francis hospital,,1,MedSurg,51,4,Nights,,$51.00 per hour 
12/19/2022 20:28:13,Buffalo,,12,,46.12,,,,
12/19/2022 20:38:26,Brooklyn,,1,Med Surg,49,3.5,Nights ,,Wyckoff Heights Medical Center 
12/19/2022 20:41:05,"kenmore, NY",,0,Cardiac,36.01,4.5,2 for evenings 2.5 for overnights,,KMH
12/19/2022 20:43:01,Buffalo,,3,Pediatric Primary Care,27.5,3,Evenings and weekends,,
12/19/2022 20:52:22,New york,,0,ER,52.14,2.5,Nights,,Mount sinai hospital main
12/19/2022 21:02:38,Bronx ,,4.5,Ambulatory surgery,50.49,,Days Monday to Friday ,,Montefiore medical
